id,name,description,brand_id,category_id,price,load_class,application,temperature_range
511,INA LEISE-4598 (Variante B),INA LEISE-4598 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit higher Belastung und einem Temperaturbereich von 0–80°C.,4,3,458.75,high,industrial,0–80°C
512,SKF FERTIG-2084 (Variante B),SKF FERTIG-2084 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit higher Belastung und einem Temperaturbereich von -20–120°C.,1,3,192.11,high,precision,-20–120°C
513,INA SCHLECHT-8517 (Variante B),INA SCHLECHT-8517 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit higher Belastung und einem Temperaturbereich von 0–80°C.,4,4,411.24,high,automotive,0–80°C
514,NSK SCHIFF-8019 (Variante B),NSK SCHIFF-8019 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit higher Belastung und einem Temperaturbereich von -40–200°C.,5,3,348.85,high,precision,-40–200°C
515,FAG WERDEN-1771 (Variante B),FAG WERDEN-1771 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit mediumer Belastung und einem Temperaturbereich von -40–200°C.,2,4,51.50,medium,industrial,-40–200°C
516,INA GELB-8668 (Variante B),INA GELB-8668 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit lower Belastung und einem Temperaturbereich von -20–120°C.,4,1,184.68,low,precision,-20–120°C
517,SKF IHN-6573 (Variante B),SKF IHN-6573 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit lower Belastung und einem Temperaturbereich von -40–200°C.,1,3,358.63,low,precision,-40–200°C
518,INA MONAT-5315 (Variante B),INA MONAT-5315 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit lower Belastung und einem Temperaturbereich von -40–200°C.,4,1,442.57,low,precision,-40–200°C
519,SKF NUN-9317 (Variante B),SKF NUN-9317 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit lower Belastung und einem Temperaturbereich von -20–120°C.,1,3,391.74,low,automotive,-20–120°C
520,Schaeffler STADT-9689 (Variante B),Schaeffler STADT-9689 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit lower Belastung und einem Temperaturbereich von -40–200°C.,3,2,254.75,low,precision,-40–200°C
521,SKF BEI-6038 (Variante B),SKF BEI-6038 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit lower Belastung und einem Temperaturbereich von -20–120°C.,1,3,408.54,low,automotive,-20–120°C
522,NSK ERSCHRECKEN-8962 (Variante B),NSK ERSCHRECKEN-8962 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit mediumer Belastung und einem Temperaturbereich von -40–200°C.,5,1,49.12,medium,automotive,-40–200°C
523,INA DREHEN-7932 (Variante B),INA DREHEN-7932 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit lower Belastung und einem Temperaturbereich von 0–80°C.,4,2,130.42,low,industrial,0–80°C
524,Schaeffler FISCH-8397 (Variante B),Schaeffler FISCH-8397 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit higher Belastung und einem Temperaturbereich von 0–80°C.,3,4,418.00,high,automotive,0–80°C
525,SKF HEISSEN-4770 (Variante B),SKF HEISSEN-4770 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit higher Belastung und einem Temperaturbereich von -40–200°C.,1,3,19.84,high,automotive,-40–200°C
526,SKF HEUTE-1514 (Variante B),SKF HEUTE-1514 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit higher Belastung und einem Temperaturbereich von 0–80°C.,1,1,114.05,high,industrial,0–80°C
527,FAG WERDEN-4510 (Variante B),FAG WERDEN-4510 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit mediumer Belastung und einem Temperaturbereich von 0–80°C.,2,3,313.48,medium,precision,0–80°C
528,NSK DREI-8749 (Variante B),NSK DREI-8749 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit lower Belastung und einem Temperaturbereich von -20–120°C.,5,4,120.43,low,automotive,-20–120°C
529,SKF SCHWESTER-7735 (Variante B),SKF SCHWESTER-7735 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit lower Belastung und einem Temperaturbereich von -40–200°C.,1,4,170.87,low,industrial,-40–200°C
530,INA ZEIGEN-2790 (Variante B),INA ZEIGEN-2790 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit higher Belastung und einem Temperaturbereich von -40–200°C.,4,3,373.13,high,automotive,-40–200°C
531,NSK WISSEN-4006 (Variante B),NSK WISSEN-4006 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit mediumer Belastung und einem Temperaturbereich von -20–120°C.,5,4,73.83,medium,automotive,-20–120°C
532,INA ZAHL-9856 (Variante B),INA ZAHL-9856 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit higher Belastung und einem Temperaturbereich von -40–200°C.,4,1,33.23,high,industrial,-40–200°C
533,FAG LERNEN-4502 (Variante B),FAG LERNEN-4502 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit lower Belastung und einem Temperaturbereich von -20–120°C.,2,4,230.39,low,automotive,-20–120°C
534,INA REICH-5345 (Variante B),INA REICH-5345 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit mediumer Belastung und einem Temperaturbereich von -40–200°C.,4,1,456.85,medium,automotive,-40–200°C
535,FAG WER-1958 (Variante B),FAG WER-1958 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit mediumer Belastung und einem Temperaturbereich von -40–200°C.,2,2,144.77,medium,industrial,-40–200°C
536,Schaeffler SEHR-8811 (Variante B),Schaeffler SEHR-8811 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit higher Belastung und einem Temperaturbereich von -40–200°C.,3,1,33.02,high,automotive,-40–200°C
537,SKF JUNGE-2113 (Variante B),SKF JUNGE-2113 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit lower Belastung und einem Temperaturbereich von -40–200°C.,1,2,41.35,low,precision,-40–200°C
538,SKF UNTER-1651 (Variante B),SKF UNTER-1651 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit higher Belastung und einem Temperaturbereich von 0–80°C.,1,2,272.66,high,precision,0–80°C
539,NSK AUF-4346 (Variante B),NSK AUF-4346 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit mediumer Belastung und einem Temperaturbereich von -40–200°C.,5,3,433.91,medium,automotive,-40–200°C
540,INA LETZTE-5915 (Variante B),INA LETZTE-5915 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit mediumer Belastung und einem Temperaturbereich von -20–120°C.,4,2,314.71,medium,precision,-20–120°C
541,INA SEIT-4492 (Variante B),INA SEIT-4492 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit higher Belastung und einem Temperaturbereich von -20–120°C.,4,1,43.50,high,automotive,-20–120°C
542,SKF RUFEN-3584 (Variante B),SKF RUFEN-3584 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit lower Belastung und einem Temperaturbereich von 0–80°C.,1,2,177.77,low,automotive,0–80°C
543,NSK BEIDE-2697 (Variante B),NSK BEIDE-2697 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit mediumer Belastung und einem Temperaturbereich von 0–80°C.,5,3,432.57,medium,automotive,0–80°C
544,NSK FREUND-4450 (Variante B),NSK FREUND-4450 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit mediumer Belastung und einem Temperaturbereich von 0–80°C.,5,2,133.72,medium,precision,0–80°C
545,NSK GING-1832 (Variante B),NSK GING-1832 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit mediumer Belastung und einem Temperaturbereich von 0–80°C.,5,4,124.10,medium,automotive,0–80°C
546,SKF REICH-5291 (Variante B),SKF REICH-5291 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit mediumer Belastung und einem Temperaturbereich von -20–120°C.,1,3,359.77,medium,precision,-20–120°C
547,SKF FERTIG-3442 (Variante B),SKF FERTIG-3442 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit mediumer Belastung und einem Temperaturbereich von -20–120°C.,1,1,44.40,medium,automotive,-20–120°C
548,NSK ACHT-1685 (Variante B),NSK ACHT-1685 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit mediumer Belastung und einem Temperaturbereich von -40–200°C.,5,2,205.08,medium,precision,-40–200°C
549,FAG BEKOMMEN-6794 (Variante B),FAG BEKOMMEN-6794 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit lower Belastung und einem Temperaturbereich von -20–120°C.,2,2,312.55,low,precision,-20–120°C
550,FAG MAMA-3900 (Variante B),FAG MAMA-3900 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit lower Belastung und einem Temperaturbereich von 0–80°C.,2,2,452.72,low,industrial,0–80°C
551,Schaeffler HIMMEL-5065 (Variante B),Schaeffler HIMMEL-5065 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit mediumer Belastung und einem Temperaturbereich von -20–120°C.,3,4,373.87,medium,precision,-20–120°C
552,INA LAUFEN-4644 (Variante B),INA LAUFEN-4644 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit higher Belastung und einem Temperaturbereich von -40–200°C.,4,1,399.41,high,industrial,-40–200°C
553,FAG ERKLÄREN-4164 (Variante B),FAG ERKLÄREN-4164 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit mediumer Belastung und einem Temperaturbereich von -40–200°C.,2,2,21.02,medium,automotive,-40–200°C
554,Schaeffler TÜR-7548 (Variante B),Schaeffler TÜR-7548 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit higher Belastung und einem Temperaturbereich von 0–80°C.,3,3,301.02,high,automotive,0–80°C
555,Schaeffler WEIT-5349 (Variante B),Schaeffler WEIT-5349 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit higher Belastung und einem Temperaturbereich von -40–200°C.,3,2,273.42,high,industrial,-40–200°C
556,INA LASSEN-6139 (Variante B),INA LASSEN-6139 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit lower Belastung und einem Temperaturbereich von 0–80°C.,4,3,340.48,low,precision,0–80°C
557,NSK HAT-8144 (Variante B),NSK HAT-8144 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit mediumer Belastung und einem Temperaturbereich von -40–200°C.,5,2,125.74,medium,automotive,-40–200°C
558,INA AUTO-6409 (Variante B),INA AUTO-6409 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit mediumer Belastung und einem Temperaturbereich von 0–80°C.,4,1,440.32,medium,industrial,0–80°C
559,NSK SONNTAG-6344 (Variante B),NSK SONNTAG-6344 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit lower Belastung und einem Temperaturbereich von 0–80°C.,5,3,312.53,low,industrial,0–80°C
560,INA KOMMEN-3851 (Variante B),INA KOMMEN-3851 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit higher Belastung und einem Temperaturbereich von -40–200°C.,4,4,317.26,high,industrial,-40–200°C
561,SKF ZEHN-8043 (Variante B),SKF ZEHN-8043 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit mediumer Belastung und einem Temperaturbereich von 0–80°C.,1,3,140.33,medium,precision,0–80°C
562,INA VERSUCHEN-3780 (Variante B),INA VERSUCHEN-3780 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit lower Belastung und einem Temperaturbereich von 0–80°C.,4,2,241.97,low,automotive,0–80°C
563,NSK IST-4848 (Variante B),NSK IST-4848 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit lower Belastung und einem Temperaturbereich von -40–200°C.,5,3,52.62,low,automotive,-40–200°C
564,FAG GELB-8784 (Variante B),FAG GELB-8784 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit higher Belastung und einem Temperaturbereich von -40–200°C.,2,1,31.24,high,industrial,-40–200°C
565,INA BLUME-7291 (Variante B),INA BLUME-7291 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit lower Belastung und einem Temperaturbereich von 0–80°C.,4,2,335.85,low,automotive,0–80°C
566,SKF IHR-4585 (Variante B),SKF IHR-4585 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit lower Belastung und einem Temperaturbereich von 0–80°C.,1,1,363.07,low,industrial,0–80°C
567,NSK BEISPIEL-2988 (Variante B),NSK BEISPIEL-2988 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit mediumer Belastung und einem Temperaturbereich von 0–80°C.,5,2,426.10,medium,precision,0–80°C
568,NSK WAHR-8251 (Variante B),NSK WAHR-8251 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit higher Belastung und einem Temperaturbereich von 0–80°C.,5,3,440.86,high,industrial,0–80°C
569,INA IHM-8777 (Variante B),INA IHM-8777 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit mediumer Belastung und einem Temperaturbereich von 0–80°C.,4,2,347.33,medium,automotive,0–80°C
570,NSK NEU-5499 (Variante B),NSK NEU-5499 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit higher Belastung und einem Temperaturbereich von -40–200°C.,5,4,294.34,high,precision,-40–200°C
571,FAG TUN-9849 (Variante B),FAG TUN-9849 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit mediumer Belastung und einem Temperaturbereich von -40–200°C.,2,3,162.50,medium,industrial,-40–200°C
572,FAG SIND-4505 (Variante B),FAG SIND-4505 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit higher Belastung und einem Temperaturbereich von 0–80°C.,2,4,324.80,high,precision,0–80°C
573,NSK WAR-4388 (Variante B),NSK WAR-4388 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit lower Belastung und einem Temperaturbereich von -40–200°C.,5,4,198.73,low,industrial,-40–200°C
574,NSK NEUN-6763 (Variante B),NSK NEUN-6763 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit mediumer Belastung und einem Temperaturbereich von -20–120°C.,5,4,226.47,medium,industrial,-20–120°C
575,INA BEISSEN-8956 (Variante B),INA BEISSEN-8956 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit mediumer Belastung und einem Temperaturbereich von -40–200°C.,4,2,133.99,medium,industrial,-40–200°C
576,FAG GLÜCKLICH-9751 (Variante B),FAG GLÜCKLICH-9751 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit mediumer Belastung und einem Temperaturbereich von -40–200°C.,2,4,427.04,medium,industrial,-40–200°C
577,SKF RECHNEN-8564 (Variante B),SKF RECHNEN-8564 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit lower Belastung und einem Temperaturbereich von -40–200°C.,1,4,71.80,low,automotive,-40–200°C
578,INA ANGST-6355 (Variante B),INA ANGST-6355 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit mediumer Belastung und einem Temperaturbereich von -20–120°C.,4,3,106.22,medium,industrial,-20–120°C
579,Schaeffler SCHIFF-9837 (Variante B),Schaeffler SCHIFF-9837 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit mediumer Belastung und einem Temperaturbereich von 0–80°C.,3,1,223.45,medium,automotive,0–80°C
580,SKF GRÜN-4266 (Variante B),SKF GRÜN-4266 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit lower Belastung und einem Temperaturbereich von -20–120°C.,1,1,440.66,low,precision,-20–120°C
581,INA BEI-4571 (Variante B),INA BEI-4571 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit higher Belastung und einem Temperaturbereich von 0–80°C.,4,1,265.89,high,industrial,0–80°C
582,NSK DARAN-3683 (Variante B),NSK DARAN-3683 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit mediumer Belastung und einem Temperaturbereich von -40–200°C.,5,1,362.80,medium,automotive,-40–200°C
583,SKF IHM-7149 (Variante B),SKF IHM-7149 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit higher Belastung und einem Temperaturbereich von 0–80°C.,1,3,271.25,high,automotive,0–80°C
584,FAG VERGESSEN-5941 (Variante B),FAG VERGESSEN-5941 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit lower Belastung und einem Temperaturbereich von -20–120°C.,2,1,326.26,low,industrial,-20–120°C
585,NSK GEHEN-2129 (Variante B),NSK GEHEN-2129 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit higher Belastung und einem Temperaturbereich von -20–120°C.,5,4,310.10,high,industrial,-20–120°C
586,INA MEER-6934 (Variante B),INA MEER-6934 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit higher Belastung und einem Temperaturbereich von 0–80°C.,4,1,206.77,high,automotive,0–80°C
587,FAG SCHULE-9817 (Variante B),FAG SCHULE-9817 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit mediumer Belastung und einem Temperaturbereich von -40–200°C.,2,3,289.43,medium,automotive,-40–200°C
588,Schaeffler ZIMMER-2419 (Variante B),Schaeffler ZIMMER-2419 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit mediumer Belastung und einem Temperaturbereich von -20–120°C.,3,2,386.79,medium,precision,-20–120°C
589,NSK FRÜH-9098 (Variante B),NSK FRÜH-9098 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit lower Belastung und einem Temperaturbereich von -40–200°C.,5,4,162.75,low,industrial,-40–200°C
